"id" "id_2" "W2mean" "Sl2mean" "NDVI2mean" "x" "y" "site" "PredReg"
"66" 1332 1 403320.910565756 28.6751622302833 0.225704810885905 23255.065686 197900.204558 "a" 0.00794212991854177
"67" 1333 1 395499.585195198 32.7317894772001 0.253780602894695 23255.565686 197900.204558 "a" 0.0026099306838201
"68" 1334 1 388350.046612395 36.7302284116171 0.279881766366242 23256.065686 197900.204558 "a" 0.0009295218859385
"69" 1335 1 379639.68188254 41.4366224013768 0.293291698218459 23256.565686 197900.204558 "a" 0.000435750236140149
"70" 1336 1 370455.185920621 45.5009732550861 0.306409213761364 23257.065686 197900.204558 "a" 0.000201509744397926
"71" 1337 1 365875.328217914 48.5154051852474 0.316063023542011 23257.565686 197900.204558 "a" 0.000126001082469414
"72" 1338 1 361508.241262877 51.929047709712 0.324893494230212 23258.065686 197900.204558 "a" 8.1349736931627e-05
"73" 1339 1 359086.882453763 54.9208286753778 0.336481437109145 23258.565686 197900.204558 "a" 5.31747181169565e-05
"74" 1340 1 359855.529835973 53.4660824413213 0.347241130463045 23259.065686 197900.204558 "a" 4.10433968674949e-05
"75" 1341 1 359086.722315529 52.8288341946539 0.365714535840969 23259.565686 197900.204558 "a" 2.39504432356489e-05
"76" 1342 1 360319.242518224 49.5199882613917 0.383044317136879 23260.065686 197900.204558 "a" 1.57785848605588e-05
"77" 1343 1 358211.791873804 50.7790373491764 0.3870959809785 23260.565686 197900.204558 "a" 1.28483325455518e-05
"78" 1344 1 354538.62403882 54.5021891222451 0.386330378527825 23261.065686 197900.204558 "a" 1.11196126859884e-05
"79" 1345 1 348076.045019977 58.665391652497 0.384223557035598 23261.565686 197900.204558 "a" 8.80395731964125e-06
"80" 1346 1 345665.383359136 61.9770276402185 0.377269266987841 23262.065686 197900.204558 "a" 9.54865207780279e-06
"81" 1347 1 340873.836317242 65.9353636082065 0.362850817408228 23262.565686 197900.204558 "a" 1.14049723695595e-05
"82" 1348 1 334087.852580796 70.2081280410969 0.339510362112525 23263.065686 197900.204558 "a" 1.58842177036092e-05
