"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"bi_CA"	"weight_day"
"110"	"Parameters bimodal 1096 28_11_2019 09_55.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	12.2790796804186
"111"	"Parameters bimodal 1097 28_11_2019 09_55.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	12.8419571372196
"112"	"Parameters bimodal 1098 28_11_2019 09_56.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	8.5674970908046
"113"	"Parameters bimodal 1099 28_11_2019 09_57.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	6.68101896865908
"114"	"Parameters bimodal 11 28_11_2019 09_19.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	17.3237241628039
"115"	"Parameters bimodal 110 28_11_2019 09_57.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	14.0107575683771
"116"	"Parameters bimodal 1100 28_11_2019 09_57.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	4.73151741782063
"117"	"Parameters bimodal 1101 28_11_2019 09_58.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	6.78988894284245
"118"	"Parameters bimodal 1102 28_11_2019 09_59.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	5.60875702666605
"119"	"Parameters bimodal 1103 28_11_2019 09_59.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"True"	6.61804533266525
"120"	"Parameters bimodal 1104 28_11_2019 09_59.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	6.1181474636161
"121"	"Parameters bimodal 1105 28_11_2019 09_59.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"True"	12.8181101563996
"122"	"Parameters bimodal 1106 28_11_2019 09_59.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	14.2949279276244
"123"	"Parameters bimodal 1107 28_11_2019 10_01.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	9.31915656521354
"124"	"Parameters bimodal 1108 28_11_2019 10_02.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"False"	11.9334648114508
"125"	"Parameters bimodal 1109 28_11_2019 10_03.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"False"	9.10371864755696
"126"	"Parameters bimodal 111 28_11_2019 09_57.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"True"	9.34820752007632
"127"	"Parameters bimodal 1110 28_11_2019 10_03.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	9.81318100803054
"128"	"Parameters bimodal 1111 28_11_2019 10_03.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	13.5835682611228
"129"	"Parameters bimodal 1112 28_11_2019 10_03.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	15.4780731277659
"130"	"Parameters bimodal 1113 28_11_2019 10_03.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	10.821784170825
"131"	"Parameters bimodal 1114 28_11_2019 10_03.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	8.71331406669562
"132"	"Parameters bimodal 1115 28_11_2019 10_03.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	5.97868172530778
"133"	"Parameters bimodal 1116 28_11_2019 10_04.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	10.2009560915761
"134"	"Parameters bimodal 1117 28_11_2019 10_04.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	4.0886395923741
"135"	"Parameters bimodal 1118 28_11_2019 10_04.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"True"	8.71845254710605
"136"	"Parameters bimodal 1119 28_11_2019 10_04.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	7.48638300227128
"137"	"Parameters bimodal 112 28_11_2019 09_57.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"True"	12.7863073117276
"138"	"Parameters bimodal 1120 28_11_2019 10_05.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	12.5460215083145
"139"	"Parameters bimodal 1121 28_11_2019 10_05.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"True"	12.9832000506358
"140"	"Parameters bimodal 1122 28_11_2019 10_06.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	12.4587405086042
"141"	"Parameters bimodal 1123 28_11_2019 10_06.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	10.5050102514144
"142"	"Parameters bimodal 1124 28_11_2019 10_06.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	9.00221833721341
"143"	"Parameters bimodal 1125 28_11_2019 10_06.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	8.75309168762237
"144"	"Parameters bimodal 1126 28_11_2019 10_07.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	6.91075839205188
"145"	"Parameters bimodal 1127 28_11_2019 10_08.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	10.0086664784366
"146"	"Parameters bimodal 1128 28_11_2019 10_09.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	11.3166714283326
"147"	"Parameters bimodal 1129 28_11_2019 10_09.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	9.63456655883191
"148"	"Parameters bimodal 113 28_11_2019 09_57.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"True"	17.2443488985345
"149"	"Parameters bimodal 1130 28_11_2019 10_11.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	8.61832318977845
"150"	"Parameters bimodal 1131 28_11_2019 10_11.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	6.39914570030815
"151"	"Parameters bimodal 1132 28_11_2019 10_11.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"True"	11.6379554517279
"152"	"Parameters bimodal 1133 28_11_2019 10_12.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	4.37863726056118
"153"	"Parameters bimodal 1134 28_11_2019 10_12.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	11.3275420527477
"154"	"Parameters bimodal 1135 28_11_2019 10_12.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	12.6745538191482
"155"	"Parameters bimodal 1136 28_11_2019 10_12.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	10.6369682948415
"156"	"Parameters bimodal 1137 28_11_2019 10_12.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	10.5185974216933
"157"	"Parameters bimodal 1138 28_11_2019 10_12.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	8.17801827483598
"158"	"Parameters bimodal 1139 28_11_2019 10_12.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"True"	9.38936204876157
"159"	"Parameters bimodal 114 28_11_2019 09_57.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"True"	8.31810663639479
"160"	"Parameters bimodal 1140 28_11_2019 10_14.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	7.22686827539231
"161"	"Parameters bimodal 1141 28_11_2019 10_14.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"True"	9.46608379580302
"162"	"Parameters bimodal 1142 28_11_2019 10_14.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"False"	12.6749828542922
"163"	"Parameters bimodal 1143 28_11_2019 10_14.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	11.7575182838478
"164"	"Parameters bimodal 1144 28_11_2019 10_15.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	10.5252766802927
"165"	"Parameters bimodal 1145 28_11_2019 10_16.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	10.3823554455343
"166"	"Parameters bimodal 1146 28_11_2019 10_17.txt"	"bimodal"	"False"	"False"	"False"	"response_type2"	"False"	15.8153940305085
"167"	"Parameters bimodal 1147 28_11_2019 10_17.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	17.9018070896361
"168"	"Parameters bimodal 1148 28_11_2019 10_17.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	10.3388385046557
"169"	"Parameters bimodal 1149 28_11_2019 10_17.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	2.38115089719184
"170"	"Parameters bimodal 115 28_11_2019 09_57.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	8.46317877504139
"171"	"Parameters bimodal 1150 28_11_2019 10_17.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	8.31610755107119
"172"	"Parameters bimodal 1151 28_11_2019 10_17.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	12.3041900915944
"173"	"Parameters bimodal 1152 28_11_2019 10_17.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	11.1203483591018
"174"	"Parameters bimodal 1153 28_11_2019 10_18.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	12.2645471148347
"175"	"Parameters bimodal 1154 28_11_2019 10_18.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	12.9741054049616
"176"	"Parameters bimodal 1155 28_11_2019 10_18.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"True"	11.0250597117915
"177"	"Parameters bimodal 1156 28_11_2019 10_18.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	8.79401314660777
"178"	"Parameters bimodal 1157 28_11_2019 10_19.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"True"	7.53432739737413
"179"	"Parameters bimodal 1158 28_11_2019 10_19.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	13.3838742847407
"180"	"Parameters bimodal 1159 28_11_2019 10_20.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	9.74894939117398
"181"	"Parameters bimodal 116 28_11_2019 09_57.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	17.1563152080834
"182"	"Parameters bimodal 1160 28_11_2019 10_21.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	9.55530752874348
"183"	"Parameters bimodal 1161 28_11_2019 10_21.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	11.7460783398665
"184"	"Parameters bimodal 1162 28_11_2019 10_21.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"False"	11.6362287579074
"185"	"Parameters bimodal 1163 28_11_2019 10_21.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"True"	12.5855247441402
"186"	"Parameters bimodal 1164 28_11_2019 10_22.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	8.17094474476535
"187"	"Parameters bimodal 1165 28_11_2019 10_22.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"True"	9.51168590967092
"188"	"Parameters bimodal 1166 28_11_2019 10_22.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"True"	7.49580151600504
"189"	"Parameters bimodal 1167 28_11_2019 10_22.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	10.5776776690327
"190"	"Parameters bimodal 1168 28_11_2019 10_22.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	8.5229897743072
"191"	"Parameters bimodal 1169 28_11_2019 10_23.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	10.041898959957
"192"	"Parameters bimodal 117 28_11_2019 09_57.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"True"	8.48177603394593
"193"	"Parameters bimodal 1170 28_11_2019 10_23.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	14.9850223441206
"194"	"Parameters bimodal 1171 28_11_2019 10_24.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	8.72343240497632
"195"	"Parameters bimodal 1172 28_11_2019 10_25.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	8.85185980527302
"196"	"Parameters bimodal 1173 28_11_2019 10_25.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"True"	5.19374649681191
"197"	"Parameters bimodal 1174 28_11_2019 10_25.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	11.4952651222767
"198"	"Parameters bimodal 1175 28_11_2019 10_25.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	12.3319539532836
