"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"weight_day"
"106"	"Parameters conspec-attraction 1092 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	13.8876908200097
"107"	"Parameters conspec-attraction 1093 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	6.79974845500149
"108"	"Parameters conspec-attraction 1094 10_06_2020 21_14.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	14.2146036085201
"109"	"Parameters conspec-attraction 1095 10_06_2020 21_14.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	12.2490834023346
"110"	"Parameters conspec-attraction 1096 10_06_2020 21_14.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	10.0862964292807
"111"	"Parameters conspec-attraction 1097 10_06_2020 21_14.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	7.82541445994052
"112"	"Parameters conspec-attraction 1098 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	12.4398124766357
"113"	"Parameters conspec-attraction 1099 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	5.30627028506526
"114"	"Parameters conspec-attraction 11 10_06_2020 21_07.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	11.1934819818265
"115"	"Parameters conspec-attraction 110 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	4.93419417361315
"116"	"Parameters conspec-attraction 1100 10_06_2020 21_15.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	14.1034116024023
"117"	"Parameters conspec-attraction 1101 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	7.95778383794255
"118"	"Parameters conspec-attraction 1102 10_06_2020 21_15.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	7.20488156654772
"119"	"Parameters conspec-attraction 1103 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	13.0016659416749
"120"	"Parameters conspec-attraction 1104 10_06_2020 21_15.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	11.4795550772397
"121"	"Parameters conspec-attraction 1105 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	7.89905467134709
"122"	"Parameters conspec-attraction 1106 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	7.85704513930122
"123"	"Parameters conspec-attraction 1107 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	12.2814889699971
"124"	"Parameters conspec-attraction 1108 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	5.9967656730897
"125"	"Parameters conspec-attraction 1109 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	13.8697638995858
"126"	"Parameters conspec-attraction 111 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	12.4011833096999
"127"	"Parameters conspec-attraction 1110 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	10.2741503980138
"128"	"Parameters conspec-attraction 1111 10_06_2020 21_15.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	5.58964348394076
