"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"91"	"Parameters CF 1079 21_04_2020 21_39.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.602948520255304	10.3953335478931
"92"	"Parameters CF 108 21_04_2020 21_51.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.57793541599134	9.9651121197531
"93"	"Parameters CF 1080 21_04_2020 21_39.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.528810174741929	6.46542511661691
"94"	"Parameters CF 1081 21_04_2020 21_39.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.481729950716108	8.81558708263695
"95"	"Parameters CF 1082 21_04_2020 21_39.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.50636071148892	8.75962563193823
"96"	"Parameters CF 1083 21_04_2020 21_39.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.336616114578946	10.6988806190726
"97"	"Parameters CF 1084 21_04_2020 21_40.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.530101008970715	12.1282312126159
"98"	"Parameters CF 1085 21_04_2020 21_40.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.626126056760066	10.1805816932189
"99"	"Parameters CF 1086 21_04_2020 21_40.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.607586875768526	11.0277657943963
"100"	"Parameters CF 1087 21_04_2020 21_41.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.452849348225504	10.8537911525985
"101"	"Parameters CF 1088 21_04_2020 21_41.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.450449868942599	9.95868723742536
"102"	"Parameters CF 1089 21_04_2020 21_41.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.644317627692427	6.3595566973967
"103"	"Parameters CF 109 21_04_2020 21_51.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.491130517782303	4.657675713734
"104"	"Parameters CF 1090 21_04_2020 21_41.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.50062299693353	12.2601586817538
